master_protein	step	RBP_glyco	NC	CL	CL_NC_Ratio
O15031	2	"Novel RBP, Glycoprotein"	20.28879297	21.92694896	2.342187238
O15031	3	"Novel RBP, Glycoprotein"	19.55395914	22.38369284	3.527207029
O15042	1	"GO:RBP, Non-Glycoprotein"	24.08966517	23.97220936	-0.158335424
O15042	2	"GO:RBP, Non-Glycoprotein"	24.41813008	24.10908219	-0.227674212
O15042	3	"GO:RBP, Non-Glycoprotein"	24.01641621	24.26669831	-0.029993268
O15042	4	"GO:RBP, Non-Glycoprotein"	22.38965886	22.19239931	-0.175388892
O15067	1	"Novel RBP, Non-Glycoprotein"	23.64688963	24.16105786	0.380411898
O15118	1	"Novel RBP, Glycoprotein"	23.82373908	23.93590493	0.131218104
O15118	2	"Novel RBP, Glycoprotein"	23.42855644	23.10648667	0.081926419
O15118	3	"Novel RBP, Glycoprotein"	23.78113428	22.76080051	-0.628228791
O15118	4	"Novel RBP, Glycoprotein"	21.53775703	21.32710329	0.027047964
O15143	1	"Novel RBP, Non-Glycoprotein"	22.72271776	22.94057758	0.18806685
O15230	3	"Novel RBP, Glycoprotein"	20.36808142	21.99721663	1.838090201
O15231	1	"Novel RBP, Non-Glycoprotein"	24.11180449	23.86494105	0.475807361
O15231	3	"Novel RBP, Non-Glycoprotein"	NA	20.56582001	NA
O15234	1	"GO:RBP, Non-Glycoprotein"	23.2762343	23.3559706	0.085001463
O15355	1	"Novel RBP, Non-Glycoprotein"	24.77597431	24.69635148	-0.043545895
O15355	2	"Novel RBP, Non-Glycoprotein"	21.00162143	22.04495049	0.91955002
O15371	1	"GO:RBP, Non-Glycoprotein"	24.27870338	24.52696701	0.860574203
O15371	2	"GO:RBP, Non-Glycoprotein"	21.52911258	23.274605	4.531449175
O15372	1	"GO:RBP, Non-Glycoprotein"	21.98731181	21.8536308	-0.163166042
O15446	1	"GO:RBP, Non-Glycoprotein"	23.29103012	23.47748278	0.022796695
O15479	1	"Novel RBP, Non-Glycoprotein"	24.61036709	26.40046585	1.790098764
O15479	2	"Novel RBP, Non-Glycoprotein"	NA	22.64290871	NA
O15479	3	"Novel RBP, Non-Glycoprotein"	NA	23.78157963	NA
O43143	1	"GO:RBP, Non-Glycoprotein"	22.56153935	23.24269905	0.793327435
O43143	2	"GO:RBP, Non-Glycoprotein"	20.37968473	21.82176562	2.827990567
O43143	3	"GO:RBP, Non-Glycoprotein"	19.91001814	23.05088999	4.560136799
O43159	3	"GO:RBP, Non-Glycoprotein"	NA	21.41742288	NA
O43175	1	"Novel RBP, Non-Glycoprotein"	24.63221882	24.94731661	0.073545955
O43175	2	"Novel RBP, Non-Glycoprotein"	22.31595709	22.83778615	0.605820654
O43175	3	"Novel RBP, Non-Glycoprotein"	22.30986038	22.86054589	0.918706698
O43194	2	"Novel RBP, Glycoprotein"	22.37917425	21.99685463	-0.38231962
O43194	3	"Novel RBP, Glycoprotein"	22.67043841	22.6268292	0.029324091
O43242	1	"Novel RBP, Non-Glycoprotein"	22.7600519	22.92288284	0.037193052
O43251	3	"GO:RBP, Non-Glycoprotein"	NA	22.07292517	NA
O43290	1	"GO:RBP, Non-Glycoprotein"	24.44362435	24.87852556	0.421743597
O43290	2	"GO:RBP, Non-Glycoprotein"	20.60497895	21.13889172	2.090480115
O43290	4	"GO:RBP, Non-Glycoprotein"	NA	21.07108202	NA
O43390	1	"GO:RBP, Non-Glycoprotein"	21.36049438	23.1556367	1.775651468
O43390	2	"GO:RBP, Non-Glycoprotein"	20.8403465	23.17841	4.481823878
O43390	3	"GO:RBP, Non-Glycoprotein"	20.44082085	22.76994429	5.310863405
O43390	4	"GO:RBP, Non-Glycoprotein"	21.17582936	21.12870916	0.159075697
O43396	1	"Novel RBP, Non-Glycoprotein"	23.57143491	23.5549338	-0.046597651
O43491	1	"Novel RBP, Non-Glycoprotein"	24.26602105	23.56943971	0.022477334
O43493	1	"Novel RBP, Glycoprotein"	22.96411824	23.18263223	0.071790711
O43493	2	"Novel RBP, Glycoprotein"	24.24452037	24.45056667	0.018942441
O43493	3	"Novel RBP, Glycoprotein"	23.35647698	23.56124149	-0.05257937
O43493	4	"Novel RBP, Glycoprotein"	23.10686029	22.9564705	-0.03365169
O43583	1	"GO:RBP, Non-Glycoprotein"	24.00821776	23.610149	0.081898186
O43684	1	"Novel RBP, Non-Glycoprotein"	24.04495881	24.25400975	0.316247324
O43707	1	"GO:RBP, Non-Glycoprotein"	24.31127455	24.07970446	0.019682583
O43707	2	"GO:RBP, Non-Glycoprotein"	21.42857721	22.37077442	0.992973161
O43707	3	"GO:RBP, Non-Glycoprotein"	20.03553089	22.00913609	3.11501588
O43719	1	"GO:RBP, Non-Glycoprotein"	22.55075592	22.96742963	0.101050539
O43719	2	"GO:RBP, Non-Glycoprotein"	23.38009388	23.1728569	-0.000146305
O43719	3	"GO:RBP, Non-Glycoprotein"	23.83859958	23.73192341	-0.135280431
O43719	4	"GO:RBP, Non-Glycoprotein"	20.90461037	21.85392617	1.197525571
O43765	1	"Novel RBP, Non-Glycoprotein"	21.17064378	21.92034166	0.297519202
O43768	1	"Novel RBP, Non-Glycoprotein"	21.95723236	20.30334926	-0.108862637
O43776	1	"Novel RBP, Non-Glycoprotein"	22.98435441	22.79490998	0.20524465
O43809	1	"GO:RBP, Non-Glycoprotein"	25.76422605	25.8891573	0.124931255
O43818	1	"GO:RBP, Non-Glycoprotein"	23.13580437	22.91712419	-0.477662156
O43823	2	"GO:RBP, Non-Glycoprotein"	21.49667827	21.84391582	-2.049498157
O43823	3	"GO:RBP, Non-Glycoprotein"	19.95384474	22.23149449	2.909512066
O43823	4	"GO:RBP, Non-Glycoprotein"	NA	21.95643733	NA
O43847	1	"Novel RBP, Non-Glycoprotein"	22.65546516	22.75848202	0.103016858
O43852	1	"Novel RBP, Glycoprotein"	23.9126223	24.74621623	0.282685896
O60264	1	"Novel RBP, Non-Glycoprotein"	23.67379163	21.25459119	-0.732527562
O60279	1	"Novel RBP, Non-Glycoprotein"	23.94983706	23.73212493	-0.217712136
O60279	2	"Novel RBP, Non-Glycoprotein"	23.90526746	23.56219883	-0.375108335
O60279	3	"Novel RBP, Non-Glycoprotein"	24.47446442	23.95781452	-0.671127475
O60506	1	"GO:RBP, Non-Glycoprotein"	21.58699673	23.62743794	2.445485632
O60506	2	"GO:RBP, Non-Glycoprotein"	20.159478	23.46758992	5.122073148
O60506	3	"GO:RBP, Non-Glycoprotein"	22.58085374	23.03762351	4.434176248
O60506	4	"GO:RBP, Non-Glycoprotein"	17.41204051	21.47511869	8.554712051
O60664	1	"Novel RBP, Non-Glycoprotein"	24.14099388	24.5018363	0.077317431
O60664	2	"Novel RBP, Non-Glycoprotein"	20.56029267	21.49813351	1.092607399
O60664	3	"Novel RBP, Non-Glycoprotein"	20.4172552	21.31467798	1.29250108
O60701	1	"Novel RBP, Non-Glycoprotein"	24.19444105	23.12110489	-0.313664548
O60704	1	"Novel RBP, Glycoprotein"	24.1578476	23.83375079	-0.072228367
O60704	2	"Novel RBP, Glycoprotein"	24.23488222	24.08394472	-0.26691345
O60704	3	"Novel RBP, Glycoprotein"	23.4062244	22.98350071	-0.316487663
O60704	4	"Novel RBP, Glycoprotein"	21.95241874	20.98274647	-0.969672272
O60763	1	"GO:RBP, Non-Glycoprotein"	22.84648186	23.27623731	0.43382093
O60784	1	"Novel RBP, Non-Glycoprotein"	24.45131857	24.14360685	-0.307711719
O60828	1	"Novel RBP, Non-Glycoprotein"	23.0203975	24.25727327	0.68833076
O60832	1	"GO:RBP, Non-Glycoprotein"	22.41443171	22.90261941	0.363658456
O60832	2	"GO:RBP, Non-Glycoprotein"	20.7868558	24.08066066	3.310597711
O60832	3	"GO:RBP, Non-Glycoprotein"	20.42700245	22.51927321	5.019136011
O60832	4	"GO:RBP, Non-Glycoprotein"	NA	21.5504438	NA
O60841	1	"GO:RBP, Non-Glycoprotein"	25.00938892	24.7847897	-0.026481339
